1.8906,1.4334,6.6786,0.25634
0.7155,1.4202,2.1516,0.18623
0.57611,1.8492,3.5366,0.27003
0.93005,2.1591,11.167,0.77213
1.3668,1.4324,7.9592,0.48722
3.2955,1.2081,15.513,0.57004
1.7033,1.1895,6.6067,0.2403
2.2184,0.76005,6.7524,0.29044
1.9494,0.95121,7.9661,0.29247
6.7597,0.23313,15.405,0.28872
2.6965,1.3459,30.136,0.68273
3.7932,0.51226,9.3103,0.16575
1.5976,1.3538,6.1017,0.24995
3.2214,1.1042,15.151,0.68078
2.153,1.0332,8.4981,0.20895
1.125,1.5325,4.3674,0.21646
4.3333,0.45078,7.9665,0.049211
6.9503,0.34257,17.703,0.35138
1.089,1.339,3.7251,0.14389
3.1833,0.8719,18.649,0.49752
1.1359,1.3629,5.8721,0.47687
0.53254,2.4478,3.3412,0.25134
11.928,0.229,24.103,0.33393
3.1386,0.81174,12.695,0.45633
2.128,1.6315,13.14,0.8087
1.6815,1.4217,12,0.61667
2.7302,1.1765,14.103,0.23142
0.57611,2.3904,2.1797,0.026702
6.8599,0.31545,14.559,0.20065
8.9955,0.43003,25.123,0.31124
1.5704,1.1717,5.0673,0.23139
4.2015,0.76905,17.44,0.4408
5.6217,0.35014,11.766,0.30414
4.7777,0.98762,23.833,0.77581
2.6649,0.75001,11.474,0.21239
