0.83094,3.4448,12.987,0.51822
3.5645,1.2293,20.673,0.75535
0.4476,2.5786,4.7647,0.30536
0.4868,3.0067,8.8112,0.49975
0.90935,1.7613,5.3808,0.28236
1.3787,2.4796,18.567,0.94269
0.98777,2.8767,14.309,0.63595
1.7076,1.8956,11.026,0.61818
1.1794,1.7185,6.3187,0.40893
0.95509,2.1715,10.116,0.70356
0.72422,2.8226,7.8049,0.82179
2.5604,1.75,16.964,0.81753
2.0213,1.8767,12.789,0.82259
2.0975,2.1208,17.451,0.91209
1.1577,1.3411,3.1366,0.25825
4.4564,1.677,26.971,0.93107
2.6083,1.7881,16.475,1.0116
2.4362,1.7548,18.718,0.82468
2.385,1.7209,17.201,0.9741
1.0477,2.061,7.649,0.75288
3.1103,1.4763,17.024,1.079
